4457	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	44-100	Gliwice	ul. Gutenberga 1	15	3	7016.70	NULL	Duzy	NULL	950	PLN	08.08.2019	21:00:00	09.08.2019	12:00:00
4463	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	33-140	Lisia Gora	ul.Lisia 34 , Brzozowka	9	2	5605.50	131	sredni	NULL	650	PLN	08.08.2019	16:30:00	09.08.2019	12:00:00
4484	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	19-200	Grajewo	ul. Dworna 29	0	1	26.60	NULL	sredni	NULL	3150	PLN	08.08.2019	23:30:00	10.08.2019	16:00:00
3329	PL	30-740	Krakow	Walstead - CLK	NO	1470	L?renskog	?stlandsterminalen,  L?renskogveien 50	1	0	NULL	1646	Duzy	NULL	3000	EUR	01.08.2019	10:30:00	07.08.2019	17:00:00
3674	PL	30-740	Krakow	Walstead - CLK	DE	90471	Nurnberg	Poststraße 2, BZ90 GroßASt, Tor 1-3	3	1	516.30	NULL	Duzy	NULL	950	EUR	26.07.2019	14:00:00	29.07.2019	00:00:00
3700	PL	27-200	Starachowice	Walstead Starachowice - P4	FR	33700	Merignac	zone de fret aerogare de Merignac	33	0	22001.76	NULL	Duzy	NULL	2550	EUR	16.08.2019	12:30:00	20.08.2019	00:00:00
3701	PL	27-200	Starachowice	Walstead Starachowice - P4	FR	54320	MAXEVILLE	32 RUE LAFAYETTE	33	0	21660.21	NULL	Duzy	NULL	1387	EUR	16.08.2019	17:00:00	20.08.2019	00:00:00
3825	PL	27-200	Starachowice	Walstead Starachowice - P4	AT	1230	Wien	Halban Kurz Straße 9-11	15	1	NULL	NULL	Duzy	NULL	670	EUR	01.08.2019	12:00:00	02.08.2019	12:00:00
3921	PL	27-200	Starachowice	Walstead Starachowice - P4	NL	4877 LA	Etten-Leur	Hoevenseweg 41	4	1	3451.50	1273	Duzy	NULL	1400	EUR	02.08.2019	17:30:00	05.08.2019	00:00:00
3924	PL	30-740	Krakow	Walstead - CLK	DE	14532	Stahnsdorf	Ruhlsdorfer Str. 73-77	1	4	77.02	610	Duzy	NULL	600	EUR	01.08.2019	09:00:00	02.08.2019	00:00:00
3961	PL	27-200	Starachowice	Walstead Starachowice - P4	FR	59200	Tourcoing		33	0	22308.00	1470	Duzy	NULL	1559	EUR	02.08.2019	12:00:00	06.08.2019	00:00:00
4020	PL	30-740	Krakow	Walstead - CLK	FR	94310	ORLY	2- 4 rue des oliviers	8	0	NULL	NULL	sredni	NULL	880	EUR	04.08.2019	12:30:00	07.08.2019	08:00:00
4039	PL	30-740	Krakow	Walstead - CLK	FR	95500	GONESSE	9 rue Amp?re	0	1	231.42	1668	Duzy	NULL	1950	EUR	02.08.2019	09:00:00	05.08.2019	10:30:00
4047	PL	27-200	Starachowice	Walstead Starachowice - P4	AT	1210	Vienna	Czeija-Nissl-Gasse 8	0	6	145.67	605	Duzy	NULL	680	EUR	07.08.2019	12:00:00	09.08.2019	08:30:00
4047	PL	27-200	Starachowice	Walstead Starachowice - P4	AT	1230	Wien	Halban Kurz Strasse 12	18	3	10998.63	615	Duzy	NULL	680	EUR	07.08.2019	12:00:00	09.08.2019	08:30:00
4086	PL	30-740	Krakow	Walstead - CLK	NO	1481	Hagan	Stamveien 1	6	1	4060.00	NULL	Duzy	NULL	3000	EUR	05.08.2019	09:00:00	09.08.2019	11:00:00
4087	PL	30-740	Krakow	Walstead - CLK	RU	107241	Moscow	ulica Birusinka 1/18	6	1	4275.00	NULL	sredni	NULL	1650	EUR	05.08.2019	10:30:00	08.08.2019	08:00:00
4090	PL	30-740	Krakow	Walstead - CLK	DE	14532	Stahnsdorf	Ruhlsdorfer Str. 73-77	33	0	NULL	610	Duzy	NULL	600	EUR	08.08.2019	09:00:00	09.08.2019	12:00:00
4092	PL	30-740	Krakow	Walstead - CLK	DE	91166	Georgensgmund	Pleinfelder Str. 64	0	1	210.00	873	Maly	NULL	400	EUR	06.08.2019	13:30:00	08.08.2019	00:00:00
4095	PL	30-740	Krakow	Walstead - CLK	FR	27601	Gaillon cedex	ZAC des Champs Chouette 1, BP 1	33	0	12402.72	NULL	Duzy	NULL	1830	EUR	05.08.2019	15:00:00	08.08.2019	00:00:00
4096	PL	30-740	Krakow	Walstead - CLK	FR	27601	Gaillon cedex	ZAC des Champs Chouette 1, BP 1	4	1	2392.13	1647	sredni	NULL	1830	EUR	05.08.2019	16:30:00	08.08.2019	00:00:00
4128	PL	30-740	Krakow	Walstead - CLK	IT	20090	Cusago ( MI)	Via Alessandro Volta 60	26	2	16523.56	1356	Duzy	NULL	1095	EUR	05.08.2019	15:30:00	09.08.2019	00:00:00
4133	PL	27-200	Starachowice	Walstead Starachowice - P4	DK	2630	Taastrup	Helgeshoej Allé 38	16	2	11606.31	NULL	sredni	NULL	1100	EUR	05.08.2019	16:30:00	08.08.2019	11:00:00
4147	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	59-241	Legnickie Pole	Nowa Wies Legnicka 104	12	3	6362.10	NULL	sredni	NULL	1290	PLN	02.08.2019	02:30:00	02.08.2019	12:00:00
4154	PL	27-200	Starachowice	Walstead Starachowice - P4	AT	1210	Vienna	Czeija-Nissl-Gasse 8	0	2	87.56	NULL	Duzy	NULL	550	EUR	02.08.2019	15:30:00	05.08.2019	08:30:00
4169	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	08-400	Garwolin	ul. Kosciuszki 61	0	1	26.60	NULL	sredni	NULL	2750	PLN	01.08.2019	03:30:00	03.08.2019	16:00:00
4169	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	74-800	Szczecinek	ul. Koszalinska 82	0	1	26.60	NULL	sredni	NULL	2750	PLN	01.08.2019	03:30:00	03.08.2019	16:00:00
4169	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	99-400	£owicz	ul. Ulanska 12	0	1	95.00	NULL	sredni	NULL	2750	PLN	01.08.2019	03:30:00	03.08.2019	16:00:00
4171	PL	30-740	Krakow	Walstead - CLK	PL	05-080	Izabelin-Mosciska	ul. Bakaliowa 3	27	1	1425.60	NULL	Duzy	NULL	1200	PLN	01.08.2019	23:30:00	02.08.2019	09:00:00
4172	PL	30-740	Krakow	Walstead - CLK	PL	03-215	Warszawa	ul. Jagiellonska 88	2	1	122.40	NULL	Duzy	NULL	1200	PLN	01.08.2019	22:00:00	02.08.2019	09:00:00
4176	PL	27-200	Starachowice	Walstead Starachowice - P4	PL	16-400	Suwalki	ul. Kosciuszki 103,	0	1	69.60	NULL	sredni	NULL	2900	PLN	01.08.2019	04:30:00	03.08.2019	16:00:00
